tau,rho,eta,psi,var_eta_mc,var_psi_mc,n_times_var_psi,n_times_var_eta
0,-0.85,0.54054054054054,-3.2038052024331,1.40963303169725e-05,0.00866560882288858,4.33280441144429,0.00704816515848626
0,-0.5,0.666666666666667,-1.76274717403909,0.00019631489619055,0.00799086323274089,3.99543161637044,0.0981574480952748
0,-0.3,0.769230769230769,-1.23024400931215,0.00060340671378894,0.0117195784580164,5.85978922900819,0.30170335689447
0,-0.15,0.869565217391304,-0.817235352812666,0.00110311618908823,0.0188679458728447,9.43397293642237,0.551558094544114
0,-0.05,0.952380952380952,-0.454899072011583,0.00147077636491108,0.0854224828439898,42.7112414219949,0.735388182455538
0,0.05,1.05263157894737,0.454899072011583,0.00222580748312049,0.0764232512845144,38.2116256422572,1.11290374156024
0,0.15,1.17647058823529,0.817235352812666,0.00405413531217001,0.0196424180148366,9.82120900741832,2.02706765608501
0,0.3,1.42857142857143,1.23024400931215,0.00736487136804809,0.0117427099939055,5.87135499695277,3.68243568402404
0,0.5,2,1.76274717403909,0.0170538868819014,0.00839716595890665,4.19858297945333,8.52694344095069
0,0.7,3.33333333333333,2.41987024267189,0.0701568868515446,0.00897890315331385,4.48945157665692,35.0784434257723
0,0.85,6.66666666666667,3.2038052024331,0.335986329435608,0.00882702629600329,4.41351314800164,167.993164717804
0.1,-0.85,0.541780005329654,-3.1735872381169,1.46883969511666e-05,0.00847283226111699,4.23641613055849,0.00734419847558332
0.1,-0.5,0.667775006466653,-1.75571416450751,0.000227561438532498,0.00895376707094211,4.47688353547105,0.113780719266249
0.1,-0.3,0.770115676759148,-1.22634723662436,0.000656561926577349,0.0128198198065548,6.4099099032774,0.328280963288675
0.1,-0.15,0.870130338791338,-0.814964748074414,0.00118473304728935,0.0209304954012057,10.4652477006029,0.592366523644673
0.1,-0.05,0.952606822310341,-0.45372576916737,0.00160377057611262,0.0939256354994087,46.9628177497043,0.801885288056312
0.1,0.05,1.05235579243784,0.45372576916737,0.00222618627169571,0.0816148242500201,40.8074121250101,1.11309313584786
0.1,0.15,1.17543774124644,0.814964748074414,0.00406491342178444,0.0206531115045522,10.3265557522761,2.03245671089222
0.1,0.3,1.42552939910598,1.22634723662436,0.00660397251885448,0.0110172677174506,5.5086338587253,3.30198625942724
0.1,0.5,1.99009083811116,1.75571416450751,0.0171628741965757,0.0086827611907822,4.3413805953911,8.58143709828783
0.1,0.7,3.29505060360988,2.40604662766778,0.0749608404365066,0.0098156197844866,4.9078098922433,37.4804202182533
0.1,0.85,6.48372350667363,3.1735872381169,0.282770110581741,0.00784532049895258,3.92266024947629,141.385055290871
0.25,-0.85,0.548211926421471,-3.02981631625346,1.30760477175571e-05,0.00570843258339948,2.85421629169974,0.00653802385877854
0.25,-0.5,0.673504164200163,-1.719991826151,0.000229981699518457,0.00867741476367513,4.33870738183756,0.114990849759229
0.25,-0.3,0.774675493258152,-1.20638460536306,0.000562229089168618,0.0105379967464358,5.26899837321791,0.281114544584309
0.25,-0.15,0.873033403798138,-0.803288296724652,0.00100093957698514,0.0174998850262706,8.7499425131353,0.500469788492569
0.25,-0.05,0.953764199818212,-0.447680754482273,0.00165299316837774,0.0887253559709951,44.3626779854976,0.826496584188872
0.25,0.05,1.05094694579289,0.447680754482273,0.00216080384822972,0.0854849547346642,42.7424773673321,1.08040192411486
0.25,0.15,1.17018126916935,0.803288296724652,0.00361338923135594,0.0200144956795523,10.0072478397761,1.80669461567797
0.25,0.3,1.41016492601704,1.20638460536306,0.00617956093216816,0.0110081914873118,5.50409574365591,3.08978046608408
0.25,0.5,1.94088760723683,1.719991826151,0.0159056283412391,0.00859094181311302,4.29547090655651,7.95281417061953
0.25,0.7,3.11216756445162,2.33718661868723,0.0581275845363453,0.00871821016094893,4.35910508047446,29.0637922681727
0.25,0.85,5.68543892676026,3.02981631625346,0.164144815042032,0.00611280900434682,3.05640450217341,82.0724075210161
0.5,-0.85,0.570191727376872,-2.65156112485522,2.05706376864841e-05,0.00415389813053753,2.07694906526877,0.0102853188432421
0.5,-0.5,0.692804114281502,-1.60664437884694,0.000208008023775961,0.00653103419880045,3.26551709940022,0.104004011887981
0.5,-0.3,0.789860924842011,-1.14119008737241,0.000489492861698227,0.00875863004356762,4.37931502178381,0.244746430849114
0.5,-0.15,0.882594746752998,-0.764645524427494,0.000974875829737964,0.0175093474595776,8.7546737297888,0.487437914868982
0.5,-0.05,0.957541697043647,-0.4275414950852,0.00131952422915939,0.0824793940680425,41.2396970340212,0.659762114579697
0.5,0.05,1.04639828810215,0.4275414950852,0.00181075930996689,0.076781807677888,38.390903838944,0.905379654983445
0.5,0.15,1.15343291334159,0.764645524427494,0.00298349764131673,0.01790176562992,8.95088281495998,1.49174882065836
0.5,0.3,1.36248258586859,1.14119008737241,0.0044312272584525,0.00923509803400956,4.61754901700478,2.21561362922625
0.5,0.5,1.79665282782809,1.60664437884694,0.00874328623776965,0.00617670878647227,3.08835439323614,4.37164311888483
0.5,0.7,2.63694456594133,2.13169501479231,0.0247355234343326,0.0057072767062034,2.8536383531017,12.3677617171663
0.5,0.85,4.06167328177726,2.65156112485522,0.0531930606898533,0.00426523701669891,2.13261850834945,26.5965303449267
1,-0.85,0.644809294081466,-1.91067575150002,3.08394275354991e-05,0.00160424123955136,0.802120619775682,0.0154197137677495
1,-0.5,0.755271528945202,-1.29277731639894,0.000195980228030625,0.00407396778521144,2.03698389260572,0.0979901140153125
1,-0.3,0.83722904232561,-0.946760931083809,0.000368305557053549,0.00599886782510469,2.99943391255235,0.184152778526775
1,-0.15,0.911404101543948,-0.645036594910235,0.000528498129587732,0.0100349826353904,5.01749131769522,0.264249064793866
1,-0.05,0.968614269166734,-0.363980957733888,0.000663043106769415,0.0529011220219114,26.4505610109557,0.331521553384707
1,0.05,1.03348780958919,0.363980957733888,0.000873082611007353,0.056194194471119,28.0970972355595,0.436541305503677
1,0.15,1.10767503061292,0.645036594910235,0.0013980853871517,0.0143632067339505,7.18160336697527,0.699042693575849
1,0.3,1.24133591305168,0.946760931083809,0.00159016044231237,0.00525585497290994,2.62792748645497,0.795080221156184
1,0.5,1.47934932670719,1.29277731639894,0.00231828695910738,0.00327832433506092,1.63916216753046,1.15914347955369
1,0.7,1.83028831536784,1.63433969730995,0.00408838189776596,0.00268413717723374,1.34206858861687,2.04419094888298
1,0.85,2.22640852637094,1.91067575150002,0.0038337297416125,0.0014014834183977,0.70074170919885,1.91686487080625
1.5,-0.85,0.734574866389965,-1.38976255413409,2.48956443559177e-05,0.000577985666796621,0.28899283339831,0.0124478221779588
1.5,-0.5,0.824709607859963,-0.997235262344871,0.000136507016519496,0.00224599050284093,1.12299525142047,0.0682535082597481
1.5,-0.3,0.886895297665973,-0.747143120060665,0.000191937786172898,0.00326170957633055,1.63085478816527,0.0959688930864488
1.5,-0.15,0.940057775079553,-0.516197024152403,0.000264405508795653,0.00675537761097458,3.37768880548729,0.132202754397826
1.5,-0.05,0.979187562486118,-0.293673113371852,0.000345879495079085,0.0388600359142037,19.4300179571018,0.172939747539543
1.5,0.05,1.02171637907911,0.293673113371852,0.000376744227572735,0.0416172032448849,20.8086016224424,0.188372113786368
1.5,0.15,1.06810722172743,0.516197024152403,0.000477473171383406,0.00745965541323597,3.72982770661799,0.238736585691703
1.5,0.3,1.14616965237928,0.747143120060665,0.000587761350779838,0.00352912028119094,1.76456014059547,0.293880675389919
1.5,0.5,1.26991870258368,0.997235262344871,0.000708867790368048,0.00204705221688721,1.0235261084436,0.354433895184024
1.5,0.7,1.4236237755715,1.22389695198493,0.000644678967421399,0.00106434011188998,0.532170055944989,0.3223394837107
1.5,0.85,1.56575782754318,1.38976255413409,0.000537004132907079,0.000607998328018084,0.303999164009042,0.268502066453539
