tau,rho,eta,psi,u,var_eta_mc,var_psi_mc,var_eta_theory,var_psi_theory,n_times_var_psi,var_eta_ratio
0,0.05,1.05263157894737,0.454899072011583,0.05,0.000291972274436091,0.00538999281380153,0.000291587694999271,0.005,1.07799856276031,1.00131891517858
0,0.15,1.17647058823529,0.817235352812666,0.15,0.00102962265037594,0.00490150746334415,0.00122124974557297,0.005,0.98030149266883,0.843089346882832
0,0.3,1.42857142857143,1.23024400931215,0.3,0.00306799357769424,0.00507942889509633,0.0043731778425656,0.005,1.01588577901927,0.701547864766082
0,0.5,2,1.76274717403909,0.5,0.00974365147243108,0.00484234861243419,0.02,0.005,0.968469722486838,0.487182573621554
0,0.7,3.33333333333333,2.41987024267189,0.7,0.0355149371867168,0.00459588758906643,0.12962962962963,0.005,0.919177517813286,0.273972372583244
0,0.85,6.66666666666667,3.2038052024331,0.85,0.213483038690476,0.00568034205453576,1.25925925925926,0.005,1.13606841090715,0.169530648371849
0.1,0.05,1.05235579243784,0.45372576916737,0.0497510374476613,0.000282393483709274,0.0052362887529671,0.000289907822112447,0.005,1.04725775059342,0.974080249548221
0.1,0.15,1.17543774124644,0.814964748074414,0.149253112342984,0.00109748731203008,0.00537468784276884,0.00121197118256886,0.005,1.07493756855377,0.905539114967958
0.1,0.3,1.42552939910598,1.22634723662436,0.298506224685968,0.00308304746240602,0.00509558532360112,0.00432366394368881,0.005,1.01911706472022,0.71306361978162
0.1,0.5,1.99009083811116,1.75571416450751,0.497510374476613,0.00992895739348371,0.00506194454950818,0.0196060834467031,0.005,1.01238890990164,0.506422275538837
0.1,0.7,3.29505060360988,2.40604662766778,0.696514524267259,0.0368674685150376,0.00490152917816738,0.124590935669678,0.005,0.980305835633475,0.295908111748856
0.1,0.85,6.48372350667363,3.1735872381169,0.845767636610243,0.184455654135338,0.00519828662094456,1.15264222835218,0.005,1.03965732418891,0.160028541032231
0.25,0.05,1.05094694579289,0.447680754482273,0.0484771814570107,0.000297992481203008,0.00587910831833955,0.000281351829063352,0.005,1.17582166366791,1.05914534906368
0.25,0.15,1.17018126916935,0.803288296724652,0.145431544371032,0.000951942199248121,0.0047505930924534,0.00116516665361159,0.005,0.950118618490679,0.817000895363293
0.25,0.3,1.41016492601704,1.20638460536306,0.290863088742064,0.00258114035087719,0.00460782669786211,0.00407819832368889,0.005,0.921565339572422,0.632911924828229
0.25,0.5,1.94088760723683,1.719991826151,0.484771814570107,0.00953355748746867,0.0053077799181322,0.0177218283891533,0.005,1.06155598362644,0.537955637427552
0.25,0.7,3.11216756445162,2.33718661868723,0.67868054039815,0.0348977554824561,0.00530906546598406,0.102287912984142,0.005,1.06181309319681,0.341171839998988
0.25,0.85,5.68543892676026,3.02981631625346,0.824112084769182,0.127602421052632,0.00479647026617305,0.757265694695471,0.005,0.95929405323461,0.168504161678611
0.5,0.05,1.04639828810215,0.4275414950852,0.0443409441985037,0.000250877192982457,0.00530999444797029,0.00025401888333616,0.005,1.06199888959406,0.987632059819954
0.5,0.15,1.15343291334159,0.764645524427494,0.133022832595511,0.00101205263157895,0.00562778385037061,0.00102064148221975,0.005,1.12555677007412,0.991584850517614
0.5,0.3,1.36248258586859,1.14119008737241,0.266045665191022,0.0025656602443609,0.00521943529392887,0.00336448868481113,0.005,1.04388705878577,0.762570626539328
0.5,0.5,1.79665282782809,1.60664437884694,0.443409441985037,0.00684443593358396,0.0047430041577085,0.0128578228223925,0.005,0.9486008315417,0.532316864847761
0.5,0.7,2.63694456594133,2.13169501479231,0.620773218779052,0.0218651472431078,0.00504795951757289,0.0569122790327304,0.005,1.00959190351458,0.384190329656858
0.5,0.85,4.06167328177726,2.65156112485522,0.753796051374563,0.0553568858082707,0.0044916404195872,0.252545026908663,0.005,0.89832808391744,0.219196103308308
1,0.05,1.03348780958919,0.363980957733888,0.0324027136831943,0.00017474295112782,0.00527831195755156,0.000178841153596107,0.005,1.05566239151031,0.977084678856732
1,0.15,1.10767503061292,0.645036594910235,0.0972081410495828,0.000574955983709273,0.00475484944065848,0.000660556149504256,0.005,0.950969888131697,0.870411976545484
1,0.3,1.24133591305168,0.946760931083809,0.194416282099166,0.00133501738721804,0.0043830289653759,0.00185939046012997,0.005,0.87660579307518,0.717986574549127
1,0.5,1.47934932670719,1.29277731639894,0.324027136831943,0.00324290585839599,0.00458263959718146,0.00524521872371033,0.005,0.916527919436292,0.618259414757454
1,0.7,1.83028831536784,1.63433969730995,0.45363799156472,0.0074834530075188,0.00499105846273607,0.0139071437850919,0.005,0.998211692547213,0.538101361657082
1,0.85,2.22640852637094,1.91067575150002,0.550846132614303,0.0121193928571429,0.00447892341029953,0.0303958910096789,0.005,0.895784682059907,0.3987181311212
1.5,0.05,1.02171637907911,0.293673113371852,0.021254801747114,0.000108971804511278,0.00559095063976597,0.000113349113942115,0.005,1.11819012795319,0.961382058680474
1.5,0.15,1.06810722172743,0.516197024152403,0.0637644052413421,0.000348856516290727,0.00489589097475821,0.000388501653783062,0.005,0.979178194951643,0.8979537484428
1.5,0.3,1.14616965237928,0.747143120060665,0.127528810482684,0.000771240601503758,0.00477091403305048,0.000960118922371798,0.005,0.954182806610096,0.803276118752612
1.5,0.5,1.26991870258368,0.997235262344871,0.21254801747114,0.00177227052005013,0.00519523464603548,0.00217648070100314,0.005,1.0390469292071,0.814282671669585
1.5,0.7,1.4236237755715,1.22389695198493,0.297567224459596,0.00274207252506266,0.00460750143169836,0.00429280138826801,0.005,0.921500286339673,0.638760631357554
1.5,0.85,1.56575782754318,1.38976255413409,0.361331629700938,0.004571226660401,0.00507820026758769,0.00693505258883222,0.005,1.01564005351754,0.659148088907389
